"","code","sppid","species","scinam","order","family"
"WCSP","WCSP","WhitecrownedSparrow","White-crowned Sparrow","Zonotrichia leucophrys","Passeriformes","Emberizidae"
"WEBL","WEBL","WesternBluebird","Western Bluebird","Sialia mexicana","Passeriformes","Turdidae"
"WEGR","WEGR","WesternGrebe","Western Grebe","Aechmophorus occidentalis","Podicipediformes","Podicipedidae"
"WEKI","WEKI","WesternKingbird","Western Kingbird","Tyrannus verticalis","Passeriformes","Tyrannidae"
"WEME","WEME","WesternMeadowlark","Western Meadowlark","Sturnella neglecta","Passeriformes","Icteridae"
"WETA","WETA","WesternTanager","Western Tanager","Piranga ludoviciana","Passeriformes","Cardinalidae"
"WEWP","WEWP","WesternWoodPewee","Western Wood-Pewee","Contopus sordidulus","Passeriformes","Tyrannidae"
"WHIM","WHIM","Whimbrel","Whimbrel","Numenius phaeopus","Charadriiformes","Scolopacidae"
"WIFL","WIFL","WillowFlycatcher","Willow Flycatcher","Empidonax traillii","Passeriformes","Tyrannidae"
"WILL","WILL","Willet","Willet","Tringa semipalmata","Charadriiformes","Scolopacidae"
"WIPH","WIPH","WilsonsPhalarope","Wilson's Phalarope","Phalaropus tricolor","Charadriiformes","Scolopacidae"
"WISA","WISA","WilliamsonsSapsucker","Williamson's Sapsucker","Sphyrapicus thyroideus","Piciformes","Picidae"
"WISN","WISN","WilsonsSnipe","Wilson's Snipe","Gallinago delicata","Charadriiformes","Scolopacidae"
"WIWA","WIWA","WilsonsWarbler","Wilson's Warbler","Cardellina pusilla","Passeriformes","Parulidae"
"WIWR","WIWR","WinterWren","Winter Wren","Troglodytes hiemalis","Passeriformes","Troglodytidae"
"WOTH","WOTH","WoodThrush","Wood Thrush","Hylocichla mustelina","Passeriformes","Turdidae"
"WTSP","WTSP","WhitethroatedSparrow","White-throated Sparrow","Zonotrichia albicollis","Passeriformes","Emberizidae"
"WWCR","WWCR","WhitewingedCrossbill","White-winged Crossbill","Loxia leucoptera","Passeriformes","Fringillidae"
"YBCH","YBCH","YellowbreastedChat","Yellow-breasted Chat","Icteria virens","Passeriformes","Parulidae"
"YBFL","YBFL","YellowbelliedFlycatcher","Yellow-bellied Flycatcher","Empidonax flaviventris","Passeriformes","Tyrannidae"
"YBSA","YBSA","YellowbelliedSapsucker","Yellow-bellied Sapsucker","Sphyrapicus varius","Piciformes","Picidae"
"YERA","YERA","YellowRail","Yellow Rail","Coturnicops noveboracensis","Gruiformes","Rallidae"
"YEWA","YEWA","YellowWarbler","Yellow Warbler","Setophaga petechia","Passeriformes","Parulidae"
"YHBL","YHBL","YellowheadedBlackbird","Yellow-headed Blackbird","Xanthocephalus xanthocephalus","Passeriformes","Icteridae"
"YRWA","YRWA","YellowrumpedWarbler","Yellow-rumped Warbler","Setophaga coronata","Passeriformes","Parulidae"
